task_name,lang,model_name,baseline,camel_case-pascal_case,camel_case-screaming_snake_case,camel_case-snake_case,double_plus_rparentheses,lparentheses_name,lparentheses_rparentheses,lsquarebracket_name,op_all,op_dash,op_lparentheses,op_lsquarebracket,op_name,op_rsquarebracket,op_semicolon,period_asterisk,period_name,rparentheses_colon,rparentheses_period,rparentheses_rparentheses,rparentheses_semicolon,rsquarebracket_rparentheses,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case
humanevalexplaindescribe-java,java,Llama-3.1-8B-Instruct,46.34,46.34,47.56,48.17,47.56,46.95,46.34,,42.07,,46.95,,47.56,,45.12,46.95,46.34,,45.73,46.34,45.73,,,,
humanevalexplaindescribe-java,java,Llama-3.2-3B-Instruct,30.49,33.54,34.15,33.54,29.88,32.93,32.32,,28.66,,29.88,,34.15,,29.27,31.71,32.32,,28.66,32.32,35.37,,,,
humanevalexplaindescribe-java,java,Llama-3.3-70B-Instruct,53.05,51.22,50.0,51.83,52.44,51.22,50.0,,61.59,,54.88,,59.15,,55.49,56.71,60.98,,51.22,54.27,50.61,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-1.5B-Instruct,46.95,52.44,52.44,50.0,48.78,50.0,51.22,,48.78,,46.95,,50.0,,47.56,48.78,48.78,,48.17,47.56,50.61,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-32B-Instruct,84.76,83.54,77.44,84.15,85.37,84.15,84.76,,81.1,,84.15,,82.32,,63.41,84.15,81.71,,84.15,84.76,85.37,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-7B,10.37,13.41,11.59,14.63,10.98,14.63,11.59,,9.15,,12.2,,10.98,,16.46,10.98,14.02,,10.98,12.2,11.59,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-7B-Instruct,71.95,71.95,70.73,72.56,72.56,71.34,70.73,,74.39,,73.17,,71.34,,68.9,73.78,71.95,,70.12,68.9,72.56,,,,
humanevalexplaindescribe-java,java,deepseek-coder-1.3b-instruct,46.34,44.51,45.12,45.12,47.56,42.07,45.73,,41.46,,45.73,,41.46,,43.9,44.51,44.51,,43.9,45.12,42.68,,,,
humanevalexplaindescribe-java,java,deepseek-coder-33b-instruct,60.37,60.37,59.76,60.98,62.2,64.02,60.98,,60.37,,61.59,,62.2,,65.24,60.37,61.59,,61.59,60.98,63.41,,,,
humanevalexplaindescribe-java,java,deepseek-coder-6.7b-instruct,61.59,62.8,57.32,59.76,60.37,60.98,61.59,,56.1,,62.2,,56.1,,59.15,57.93,57.93,,60.98,59.76,58.54,,,,
humanevalfixtests-python,python,CodeQwen1.5-7B-Chat,50.61,,,,,50.61,50.0,50.61,54.88,50.61,,50.0,50.61,50.0,,,50.0,52.44,,48.78,,50.0,49.39,50.61,50.61
humanevalfixtests-python,python,Llama-3.1-8B-Instruct,28.66,,,,,32.93,28.66,30.49,32.93,28.05,,28.66,32.93,29.27,,,27.44,33.54,,32.32,,28.05,31.71,34.15,32.32
humanevalfixtests-python,python,Llama-3.2-3B-Instruct,26.22,,,,,33.54,26.22,28.05,30.49,26.83,,26.83,33.54,26.83,,,28.05,29.88,,27.44,,26.83,31.1,26.22,28.66
humanevalfixtests-python,python,Llama-3.3-70B-Instruct,55.49,,,,,57.93,54.27,54.88,60.37,55.49,,55.49,57.32,54.88,,,54.88,56.71,,56.1,,57.32,55.49,56.1,55.49
humanevalfixtests-python,python,Qwen2.5-Coder-1.5B-Instruct,31.71,,,,,31.1,31.71,31.71,30.49,31.71,,32.32,29.88,32.32,,,30.49,30.49,,31.71,,31.1,27.44,29.88,31.71
humanevalfixtests-python,python,Qwen2.5-Coder-32B-Instruct,69.51,,,,,67.68,70.12,69.51,67.68,69.51,,69.51,67.68,69.51,,,69.51,69.51,,70.12,,68.29,68.9,68.9,69.51
humanevalfixtests-python,python,Qwen2.5-Coder-7B,0.0,,,,,4.27,0.0,0.61,10.37,0.0,,0.0,6.71,0.0,,,0.0,6.71,,0.0,,1.22,0.0,0.0,0.0
humanevalfixtests-python,python,Qwen2.5-Coder-7B-Instruct,55.49,,,,,53.66,54.88,54.88,55.49,54.88,,55.49,53.66,54.27,,,54.27,55.49,,54.88,,54.88,54.88,56.1,56.1
humanevalfixtests-python,python,deepseek-coder-1.3b-instruct,21.34,,,,,21.95,22.56,21.34,23.17,21.34,,20.73,20.12,20.73,,,19.51,26.22,,20.12,,20.73,19.51,18.9,18.9
humanevalfixtests-python,python,deepseek-coder-33b-instruct,53.05,,,,,54.27,54.88,52.44,58.54,53.05,,53.05,55.49,52.44,,,54.27,54.88,,54.27,,52.44,51.83,54.88,53.66
humanevalfixtests-python,python,deepseek-coder-6.7b-instruct,47.56,,,,,50.61,46.95,48.17,52.44,47.56,,47.56,51.22,47.56,,,48.78,50.61,,47.56,,47.56,48.17,47.56,45.12
humanevalfixtests-java,java,CodeQwen1.5-7B-Chat,57.32,56.1,54.88,56.1,57.32,56.71,56.71,,53.05,,57.32,,57.32,,57.93,56.71,58.54,,56.71,57.93,56.71,,,,
humanevalfixtests-java,java,Llama-3.1-8B-Instruct,39.02,39.63,38.41,39.63,38.41,31.1,35.37,,16.46,,39.02,,23.17,,36.59,31.71,25.61,,39.02,37.2,37.2,,,,
humanevalfixtests-java,java,Llama-3.2-3B-Instruct,19.51,20.73,20.73,20.12,19.51,15.85,17.68,,12.2,,20.73,,12.2,,21.34,18.29,17.68,,19.51,19.51,20.73,,,,
humanevalfixtests-java,java,Llama-3.3-70B-Instruct,42.68,43.9,42.07,43.9,43.9,44.51,41.46,,50.61,,42.07,,46.95,,46.34,46.95,46.95,,41.46,42.07,40.24,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-1.5B-Instruct,32.32,34.15,33.54,35.37,33.54,33.54,29.88,,34.76,,32.93,,34.15,,34.76,30.49,31.1,,32.32,31.71,33.54,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-32B-Instruct,67.68,66.46,68.29,68.29,67.68,68.9,69.51,,67.68,,68.29,,65.24,,65.85,66.46,67.68,,68.29,67.68,68.9,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-7B-Instruct,59.76,61.59,63.41,64.02,59.76,62.8,60.37,,54.88,,61.59,,60.37,,61.59,61.59,60.37,,60.98,62.8,60.37,,,,
humanevalfixtests-java,java,deepseek-coder-1.3b-instruct,30.49,31.1,29.27,28.66,30.49,29.88,26.83,,24.39,,29.88,,26.83,,32.32,28.05,26.83,,29.27,29.88,29.88,,,,
humanevalfixtests-java,java,deepseek-coder-33b-instruct,57.32,54.88,53.66,55.49,58.54,60.98,56.71,,58.54,,56.71,,58.54,,60.37,57.32,59.76,,57.32,54.88,56.1,,,,
humanevalfixtests-java,java,deepseek-coder-6.7b-instruct,51.83,53.66,53.05,51.22,51.22,53.05,53.05,,51.22,,51.83,,52.44,,51.83,51.83,52.44,,54.88,53.05,52.44,,,,
avatartranslate-python2java,python,CodeQwen1.5-7B-Chat,40.16,,,,,38.52,36.89,39.34,39.34,39.34,,39.75,37.7,39.34,,,39.75,40.16,,38.93,,39.75,40.57,40.57,39.75
avatartranslate-python2java,python,Llama-3.1-8B-Instruct,44.26,,,,,43.85,43.85,43.03,40.98,45.08,,44.26,43.85,45.49,,,44.67,43.44,,44.26,,44.26,44.67,44.26,43.85
avatartranslate-python2java,python,Llama-3.2-3B-Instruct,31.56,,,,,31.97,31.15,30.74,28.28,31.97,,31.97,30.74,31.15,,,30.74,29.92,,31.15,,31.97,31.97,31.56,31.56
avatartranslate-python2java,python,Llama-3.3-70B-Instruct,67.21,,,,,65.16,65.98,65.98,63.11,66.8,,66.8,64.34,65.57,,,64.75,67.21,,65.98,,66.8,67.21,66.8,65.98
avatartranslate-python2java,python,Qwen2.5-Coder-1.5B-Instruct,26.23,,,,,26.23,24.59,26.23,23.77,26.64,,26.64,25.41,26.23,,,25.82,26.64,,25.0,,26.64,26.64,25.0,26.23
avatartranslate-python2java,python,Qwen2.5-Coder-32B-Instruct,67.21,,,,,66.8,66.8,66.8,65.98,67.21,,67.21,66.8,67.62,,,66.39,67.62,,68.03,,66.39,67.21,67.62,67.21
avatartranslate-python2java,python,Qwen2.5-Coder-7B,51.23,,,,,50.41,50.82,50.82,51.64,51.64,,50.0,50.41,50.0,,,49.59,52.05,,49.18,,50.0,50.82,51.23,51.64
avatartranslate-python2java,python,Qwen2.5-Coder-7B-Instruct,53.28,,,,,53.69,52.05,51.64,51.23,53.28,,53.28,51.64,52.46,,,51.64,51.23,,54.51,,53.69,54.92,53.28,53.69
avatartranslate-python2java,python,deepseek-coder-1.3b-instruct,36.48,,,,,36.07,35.66,36.48,32.79,36.48,,35.25,35.66,36.89,,,35.66,36.48,,36.89,,37.3,36.48,36.89,34.43
avatartranslate-python2java,python,deepseek-coder-33b-instruct,60.66,,,,,58.2,58.61,59.02,56.97,59.84,,59.84,57.38,59.02,,,58.2,57.38,,59.84,,59.43,61.48,61.89,59.43
avatartranslate-python2java,python,deepseek-coder-6.7b-instruct,52.46,,,,,52.46,52.05,52.46,50.0,52.87,,52.05,51.23,52.87,,,53.69,52.46,,51.64,,52.46,52.05,52.46,52.05
avatartranslate-java2python,java,CodeQwen1.5-7B-Chat,43.09,44.31,42.68,42.28,41.87,43.09,40.24,,41.46,,43.5,,39.84,,44.72,41.87,41.87,,43.09,43.9,41.87,,,,
avatartranslate-java2python,java,Llama-3.1-8B-Instruct,44.72,45.12,46.75,44.72,44.72,42.68,42.28,,37.4,,44.31,,39.02,,45.93,43.09,38.21,,44.72,43.9,46.75,,,,
avatartranslate-java2python,java,Llama-3.2-3B-Instruct,34.55,34.55,34.15,34.55,35.37,31.71,30.49,,28.46,,32.93,,30.49,,31.71,35.37,32.11,,34.15,33.33,33.33,,,,
avatartranslate-java2python,java,Llama-3.3-70B-Instruct,62.6,62.2,62.6,63.41,63.01,60.98,59.35,,57.32,,63.41,,57.72,,59.35,62.6,60.16,,61.79,62.2,62.6,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-1.5B-Instruct,26.42,26.83,29.27,26.83,25.61,25.2,22.36,,23.98,,24.8,,28.05,,26.02,24.8,25.2,,28.05,26.02,26.42,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-32B-Instruct,70.33,71.54,70.33,70.73,71.14,73.98,72.36,,71.14,,70.73,,71.95,,73.58,69.51,71.14,,69.92,68.29,71.14,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-7B,48.37,47.15,46.75,48.37,47.15,43.9,43.9,,41.87,,47.15,,43.09,,45.53,48.78,42.68,,48.37,47.15,45.12,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-7B-Instruct,49.19,49.19,50.81,48.37,47.56,49.59,49.19,,50.0,,49.19,,47.15,,48.37,49.59,49.19,,47.97,49.59,47.56,,,,
avatartranslate-java2python,java,deepseek-coder-1.3b-instruct,37.4,39.43,38.62,37.4,37.4,36.18,38.62,,30.49,,36.99,,33.33,,38.62,36.59,34.15,,36.99,37.4,37.4,,,,
avatartranslate-java2python,java,deepseek-coder-33b-instruct,54.47,55.28,54.88,55.28,55.28,55.28,55.69,,52.85,,54.88,,57.32,,53.25,55.69,57.72,,54.47,54.07,54.07,,,,
avatartranslate-java2python,java,deepseek-coder-6.7b-instruct,58.54,57.32,56.1,57.72,57.32,56.91,54.88,,51.22,,59.35,,54.88,,54.88,55.69,54.47,,58.13,58.54,56.5,,,,
codenettranslate-python2java,python,CodeQwen1.5-7B-Chat,73.0,,,,,74.5,69.0,74.0,70.5,73.0,,72.5,74.5,73.5,,,73.0,74.0,,72.5,,73.0,74.0,73.5,72.5
codenettranslate-python2java,python,Llama-3.1-8B-Instruct,74.0,,,,,74.5,71.5,73.5,73.0,75.0,,76.5,74.5,73.5,,,75.0,74.5,,73.5,,76.0,75.5,73.5,74.5
codenettranslate-python2java,python,Llama-3.2-3B-Instruct,56.5,,,,,60.0,56.5,59.5,55.5,57.0,,58.0,61.0,57.5,,,58.0,58.5,,56.0,,57.0,57.5,57.0,55.5
codenettranslate-python2java,python,Llama-3.3-70B-Instruct,93.0,,,,,93.0,94.5,92.5,93.0,93.0,,93.0,92.5,94.0,,,93.0,93.0,,94.0,,93.0,93.5,93.0,93.0
codenettranslate-python2java,python,Qwen2.5-Coder-1.5B-Instruct,53.5,,,,,51.5,51.0,53.5,52.5,54.0,,53.0,52.0,53.5,,,52.0,53.5,,53.0,,52.5,53.5,54.0,53.5
codenettranslate-python2java,python,Qwen2.5-Coder-32B-Instruct,92.5,,,,,93.0,91.0,92.5,90.5,93.0,,92.0,93.5,93.5,,,92.0,92.0,,92.5,,93.0,93.5,93.0,93.0
codenettranslate-python2java,python,Qwen2.5-Coder-7B,82.0,,,,,79.5,80.5,79.5,79.5,81.0,,81.5,78.5,81.0,,,82.0,81.0,,79.5,,81.5,82.0,82.5,83.0
codenettranslate-python2java,python,Qwen2.5-Coder-7B-Instruct,79.0,,,,,76.0,78.5,78.5,77.0,79.5,,79.5,77.0,80.5,,,77.0,79.5,,80.0,,79.5,78.5,78.0,80.0
codenettranslate-python2java,python,deepseek-coder-1.3b-instruct,70.0,,,,,69.5,72.0,68.5,68.0,69.0,,69.0,69.5,69.0,,,71.5,69.5,,70.5,,68.5,69.5,67.5,69.5
codenettranslate-python2java,python,deepseek-coder-33b-instruct,92.5,,,,,90.5,91.0,91.0,90.0,91.5,,92.0,89.5,90.0,,,91.0,90.5,,90.5,,91.5,92.0,91.0,91.5
codenettranslate-python2java,python,deepseek-coder-6.7b-instruct,84.5,,,,,85.0,85.0,85.0,84.5,85.0,,86.0,81.5,86.0,,,83.0,83.5,,85.5,,85.0,84.5,84.5,84.5
codenettranslate-java2python,java,CodeQwen1.5-7B-Chat,48.5,48.0,47.5,48.5,46.0,47.5,43.5,,40.0,,47.0,,44.5,,44.5,47.5,46.0,,48.0,49.0,44.5,,,,
codenettranslate-java2python,java,Llama-3.1-8B-Instruct,42.0,42.5,43.0,41.5,42.0,41.5,40.0,,41.0,,41.5,,38.5,,43.0,41.0,36.5,,42.0,42.5,47.0,,,,
codenettranslate-java2python,java,Llama-3.2-3B-Instruct,40.5,37.5,39.0,40.0,39.5,40.5,37.0,,32.0,,40.0,,35.5,,37.5,40.5,38.0,,41.0,42.0,39.5,,,,
codenettranslate-java2python,java,Llama-3.3-70B-Instruct,66.0,65.5,65.0,66.0,65.0,63.0,61.5,,57.5,,65.5,,59.0,,60.5,65.0,59.0,,65.5,63.5,62.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-1.5B-Instruct,32.5,32.5,31.0,33.5,33.0,35.5,30.5,,34.0,,32.5,,34.5,,35.0,34.0,33.0,,32.5,32.5,34.5,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-32B-Instruct,61.0,61.5,61.5,60.0,63.5,62.0,60.0,,62.5,,60.0,,61.5,,63.0,60.0,62.0,,61.5,61.0,63.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-7B,46.5,47.0,45.0,46.5,47.5,45.0,45.5,,47.5,,47.0,,46.5,,49.0,47.5,47.5,,46.0,46.5,49.5,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-7B-Instruct,53.5,53.5,52.0,51.5,52.5,51.0,52.0,,49.5,,51.5,,48.5,,49.5,53.0,50.5,,53.0,53.0,50.5,,,,
codenettranslate-java2python,java,deepseek-coder-1.3b-instruct,40.0,40.5,40.0,40.5,39.5,37.5,39.5,,40.0,,39.5,,40.0,,39.5,38.5,44.0,,39.0,37.5,39.0,,,,
codenettranslate-java2python,java,deepseek-coder-33b-instruct,58.5,59.5,58.0,57.5,58.5,56.5,58.0,,55.5,,58.0,,58.5,,58.0,58.5,59.5,,59.5,59.0,56.5,,,,
codenettranslate-java2python,java,deepseek-coder-6.7b-instruct,59.5,59.0,58.5,60.0,60.5,59.0,59.5,,54.5,,60.0,,56.5,,58.0,60.5,57.0,,60.5,61.0,60.5,,,,
average,average,average,51.86,48.34,47.76,48.27,48.17,51.47,50.89,55.46,50.17,55.65,48.09,55.49,50.65,55.64,47.46,47.69,51.06,55.84,47.88,51.59,47.92,55.35,55.88,55.29,54.88
max,max,max,93.0,83.54,77.44,84.15,85.37,93.0,94.5,92.5,93.0,93.0,84.15,93.0,93.5,94.0,73.58,84.15,93.0,93.0,84.15,94.0,85.37,93.0,93.5,93.0,93.0
