task_name,lang,model_name,camel_case-pascal_case,camel_case-screaming_snake_case,camel_case-snake_case,double_plus_rparentheses,lparentheses_name,lparentheses_rparentheses,lsquarebracket_name,op_all,op_dash,op_lparentheses,op_lsquarebracket,op_name,op_rsquarebracket,op_semicolon,period_asterisk,period_name,rparentheses_colon,rparentheses_period,rparentheses_rparentheses,rparentheses_semicolon,rsquarebracket_rparentheses,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case
humanevalfixtests-python,python,Qwen2.5-Coder-32B-Instruct,,,,,3.05,4.17,0.0,6.71,0.0,,0.0,4.27,4.17,,,3.08,2.8,,2.08,,4.17,2.29,2.29,3.05
humanevalfixtests-python,python,Qwen2.5-Coder-7B,,,,,4.27,0.0,1.28,10.37,0.0,,0.0,6.71,0.0,,,0.0,7.69,,0.0,,4.17,0.0,0.0,0.0
humanevalfixtests-python,python,Qwen2.5-Coder-7B-Instruct,,,,,5.49,12.5,1.28,10.98,4.55,,0.0,9.15,4.17,,,9.23,6.99,,6.25,,2.08,2.29,5.34,5.34
humanevalfixtests-python,python,deepseek-coder-1.3b-instruct,,,,,3.05,8.33,2.56,6.71,9.09,,3.45,3.66,6.25,,,4.62,5.59,,8.33,,2.08,2.29,4.58,6.11
humanevalfixtests-python,python,deepseek-coder-33b-instruct,,,,,6.1,12.5,3.85,9.15,0.0,,6.9,8.54,2.08,,,6.15,3.5,,8.33,,2.08,3.05,5.34,6.87
humanevalfixtests-python,python,deepseek-coder-6.7b-instruct,,,,,4.27,12.5,1.28,9.76,9.09,,6.9,6.1,0.0,,,6.15,7.69,,4.17,,0.0,2.29,4.58,7.63
humanevalfixtests-java,java,CodeQwen1.5-7B-Chat,2.99,4.48,1.49,0.0,1.83,4.07,,6.71,,3.08,,3.66,,1.83,0.61,2.44,,2.38,7.0,2.31,,,,
humanevalfixtests-java,java,Llama-3.1-8B-Instruct,9.7,17.16,11.19,10.2,16.46,9.76,,27.44,,12.31,,21.95,,9.76,13.41,17.07,,4.76,7.0,13.08,,,,
humanevalfixtests-java,java,Llama-3.2-3B-Instruct,4.48,7.46,6.72,0.0,8.54,5.69,,10.98,,3.08,,12.2,,5.49,6.1,7.93,,0.0,2.0,4.62,,,,
humanevalfixtests-java,java,Llama-3.3-70B-Instruct,4.48,14.18,5.97,8.16,11.59,8.13,,18.9,,7.69,,17.68,,12.2,10.37,15.24,,9.52,5.0,12.31,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-1.5B-Instruct,3.73,7.46,5.22,4.08,8.54,9.76,,13.41,,10.77,,11.59,,9.76,5.49,6.1,,0.0,5.0,6.15,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-32B-Instruct,4.48,6.72,5.22,0.0,3.66,5.69,,8.54,,1.54,,7.32,,3.05,2.44,7.32,,7.14,4.0,7.69,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-7B,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-7B-Instruct,6.72,8.96,5.22,0.0,10.37,7.32,,13.41,,7.69,,15.24,,4.27,4.27,10.37,,14.29,7.0,5.38,,,,
humanevalfixtests-java,java,deepseek-coder-1.3b-instruct,0.75,7.46,2.24,0.0,7.93,6.5,,9.76,,1.54,,10.98,,5.49,3.66,6.1,,4.76,1.0,6.92,,,,
humanevalfixtests-java,java,deepseek-coder-33b-instruct,4.48,10.45,3.73,4.08,8.54,2.44,,7.32,,1.54,,6.1,,4.27,2.44,6.1,,9.52,4.0,4.62,,,,
humanevalfixtests-java,java,deepseek-coder-6.7b-instruct,5.22,10.45,5.22,2.04,6.1,6.5,,9.15,,3.08,,5.49,,6.1,4.88,6.71,,16.67,6.0,5.38,,,,
avatartranslate-python2java,python,CodeQwen1.5-7B-Chat,,,,,5.76,4.92,2.56,4.92,6.25,,1.72,7.38,1.72,,,3.35,5.21,,4.89,,3.33,1.96,9.8,1.96
avatartranslate-python2java,python,Llama-3.1-8B-Instruct,,,,,7.82,7.79,8.33,14.75,6.25,,6.9,10.25,4.31,,,7.18,7.29,,7.11,,6.67,5.88,11.76,9.8
avatartranslate-python2java,python,Llama-3.2-3B-Instruct,,,,,5.35,5.33,2.56,8.2,9.38,,5.17,6.56,7.76,,,1.91,3.12,,4.0,,3.33,1.96,3.92,7.84
avatartranslate-python2java,python,Llama-3.3-70B-Instruct,,,,,2.88,2.87,4.49,4.1,3.12,,8.62,3.69,5.17,,,2.87,3.12,,2.22,,3.33,0.0,1.96,9.8
avatartranslate-python2java,python,Qwen2.5-Coder-1.5B-Instruct,,,,,4.12,4.1,2.56,5.74,3.12,,1.72,4.1,1.72,,,1.44,1.56,,3.11,,3.33,9.8,5.88,7.84
avatartranslate-python2java,python,Qwen2.5-Coder-32B-Instruct,,,,,2.06,2.05,1.92,5.33,0.0,,3.45,2.87,2.59,,,2.87,2.6,,2.67,,2.22,0.0,1.96,3.92
avatartranslate-python2java,python,Qwen2.5-Coder-7B,,,,,5.76,6.15,5.77,9.43,3.12,,5.17,8.2,7.76,,,4.78,3.12,,6.67,,3.33,1.96,7.84,5.88
avatartranslate-python2java,python,Qwen2.5-Coder-7B-Instruct,,,,,10.29,6.15,5.13,9.43,0.0,,0.0,11.48,5.17,,,7.66,4.69,,4.89,,3.33,7.84,3.92,5.88
avatartranslate-python2java,python,deepseek-coder-1.3b-instruct,,,,,7.82,7.38,5.13,11.89,0.0,,5.17,9.02,6.03,,,3.83,7.29,,4.89,,4.44,7.84,13.73,9.8
avatartranslate-python2java,python,deepseek-coder-33b-instruct,,,,,4.94,5.33,5.13,10.25,6.25,,6.9,7.38,5.17,,,4.78,5.21,,3.56,,3.33,3.92,5.88,13.73
avatartranslate-python2java,python,deepseek-coder-6.7b-instruct,,,,,5.76,4.51,1.28,10.66,9.38,,1.72,10.25,6.03,,,5.26,2.08,,3.56,,0.0,1.96,3.92,5.88
avatartranslate-java2python,java,CodeQwen1.5-7B-Chat,11.69,14.29,7.79,5.06,8.13,9.35,,13.01,,8.65,,13.01,,9.76,3.94,10.98,,4.17,7.36,7.72,,,,
avatartranslate-java2python,java,Llama-3.1-8B-Instruct,6.76,12.16,8.11,5.62,7.72,8.94,,20.33,,6.73,,18.7,,8.54,7.87,16.26,,0.0,9.82,8.54,,,,
avatartranslate-java2python,java,Llama-3.2-3B-Instruct,8.11,9.46,8.11,6.74,11.79,8.13,,15.85,,7.69,,18.7,,10.16,7.87,16.26,,2.08,6.75,9.35,,,,
avatartranslate-java2python,java,Llama-3.3-70B-Instruct,4.05,5.41,5.41,1.69,6.5,8.94,,15.04,,1.92,,13.01,,8.94,7.87,9.76,,4.17,3.07,5.69,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-1.5B-Instruct,14.86,9.46,9.46,4.49,7.72,8.13,,15.45,,5.77,,8.94,,9.35,9.45,10.16,,12.5,6.75,8.94,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-32B-Instruct,6.76,10.81,9.46,2.25,6.91,6.1,,8.94,,2.88,,8.13,,5.69,9.45,8.13,,2.08,5.52,6.5,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-7B,4.05,5.41,5.41,2.81,5.28,6.1,,13.01,,4.81,,11.79,,7.72,7.09,8.13,,4.17,5.52,5.69,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-7B-Instruct,13.51,10.81,8.11,4.49,10.16,8.13,,17.07,,5.77,,15.85,,9.76,3.94,13.82,,10.42,7.98,8.94,,,,
avatartranslate-java2python,java,deepseek-coder-1.3b-instruct,9.09,14.29,2.6,1.12,10.98,10.98,,17.48,,4.81,,15.45,,8.54,9.45,13.82,,2.08,3.68,6.5,,,,
avatartranslate-java2python,java,deepseek-coder-33b-instruct,5.19,14.29,5.19,5.62,7.32,5.28,,8.94,,2.88,,10.98,,6.1,5.51,7.32,,0.0,3.07,6.1,,,,
avatartranslate-java2python,java,deepseek-coder-6.7b-instruct,6.49,15.58,10.39,3.93,13.01,10.16,,22.76,,3.85,,18.29,,12.6,8.66,16.26,,6.25,7.36,13.41,,,,
codenettranslate-python2java,python,CodeQwen1.5-7B-Chat,,,,,8.85,11.0,5.88,9.5,5.26,,13.51,6.63,9.59,,,6.33,1.83,,8.11,,0.0,6.67,10.0,10.0
codenettranslate-python2java,python,Llama-3.1-8B-Instruct,,,,,4.69,6.5,4.9,10.0,5.26,,13.51,5.61,9.59,,,5.06,2.75,,4.86,,7.27,10.0,3.33,3.33
codenettranslate-python2java,python,Llama-3.2-3B-Instruct,,,,,7.81,10.0,7.84,14.0,2.63,,8.11,9.69,5.48,,,4.43,5.5,,5.95,,5.45,13.33,10.0,13.33
codenettranslate-python2java,python,Llama-3.3-70B-Instruct,,,,,3.12,1.5,0.98,3.0,0.0,,5.41,1.53,2.74,,,0.0,1.83,,1.08,,0.0,3.33,0.0,0.0
codenettranslate-python2java,python,Qwen2.5-Coder-1.5B-Instruct,,,,,4.17,6.5,5.88,10.0,2.63,,2.7,6.63,5.48,,,3.16,1.83,,4.86,,3.64,0.0,3.33,0.0
codenettranslate-python2java,python,Qwen2.5-Coder-32B-Instruct,,,,,1.56,1.5,1.96,3.0,2.63,,2.7,2.04,2.74,,,0.63,0.92,,1.08,,1.82,6.67,3.33,3.33
codenettranslate-python2java,python,Qwen2.5-Coder-7B,,,,,4.69,4.5,10.78,5.5,5.26,,8.11,7.65,8.22,,,6.33,7.34,,3.78,,5.45,6.67,3.33,6.67
codenettranslate-python2java,python,Qwen2.5-Coder-7B-Instruct,,,,,10.42,6.5,4.9,16.0,2.63,,2.7,12.24,4.11,,,10.13,4.59,,6.49,,1.82,3.33,13.33,6.67
codenettranslate-python2java,python,deepseek-coder-1.3b-instruct,,,,,5.73,8.0,6.86,13.0,5.26,,16.22,6.63,10.96,,,8.23,6.42,,5.95,,9.09,10.0,16.67,10.0
codenettranslate-python2java,python,deepseek-coder-33b-instruct,,,,,2.08,2.5,2.94,4.5,5.26,,2.7,3.06,6.85,,,1.9,3.67,,2.16,,3.64,10.0,10.0,6.67
codenettranslate-python2java,python,deepseek-coder-6.7b-instruct,,,,,3.65,3.5,0.98,8.0,2.63,,8.11,6.12,9.59,,,6.96,5.5,,2.16,,1.82,0.0,0.0,6.67
codenettranslate-java2python,java,CodeQwen1.5-7B-Chat,4.92,6.56,6.56,4.86,5.0,13.0,,16.5,,5.45,,11.0,,5.0,4.21,5.5,,1.82,2.65,7.0,,,,
codenettranslate-java2python,java,Llama-3.1-8B-Instruct,4.92,6.56,4.92,1.39,5.5,9.0,,15.0,,5.45,,13.5,,6.0,4.21,12.5,,3.64,4.42,10.0,,,,
codenettranslate-java2python,java,Llama-3.2-3B-Instruct,9.84,11.48,4.92,4.17,13.0,11.5,,19.5,,9.09,,18.0,,11.0,14.74,15.5,,1.82,6.19,5.0,,,,
codenettranslate-java2python,java,Llama-3.3-70B-Instruct,4.92,13.11,9.84,2.78,4.0,7.5,,14.5,,1.82,,13.0,,8.5,8.42,14.0,,5.45,6.19,7.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-1.5B-Instruct,6.56,8.2,3.28,0.69,6.0,6.0,,12.5,,0.0,,11.0,,5.5,3.16,6.5,,0.0,3.54,8.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-32B-Instruct,11.48,14.75,9.84,6.25,4.0,5.0,,8.5,,3.64,,9.5,,7.0,4.21,7.0,,1.82,5.31,5.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-7B,1.64,4.92,3.28,4.17,3.5,4.0,,11.0,,5.45,,10.0,,4.5,4.21,8.0,,1.82,3.54,5.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-7B-Instruct,6.56,4.92,6.56,5.56,8.5,5.5,,15.0,,7.27,,11.0,,5.0,3.16,9.0,,1.82,4.42,6.0,,,,
codenettranslate-java2python,java,deepseek-coder-1.3b-instruct,4.92,6.56,8.2,0.69,7.5,3.5,,14.0,,5.45,,13.0,,4.5,13.68,10.0,,3.64,4.42,4.0,,,,
codenettranslate-java2python,java,deepseek-coder-33b-instruct,6.56,8.2,6.56,1.39,5.0,5.5,,11.0,,1.82,,7.0,,8.5,2.11,4.0,,3.64,4.42,7.0,,,,
codenettranslate-java2python,java,deepseek-coder-6.7b-instruct,8.2,9.84,4.92,1.39,3.5,9.0,,16.0,,5.45,,13.0,,8.5,2.11,13.5,,3.64,6.19,8.0,,,,
average,average,average,7.27,10.8,7.22,4.54,7.72,8.52,5.19,12.16,6.09,5.85,6.54,10.42,6.74,8.26,7.28,8.76,6.87,5.86,6.07,7.62,6.84,6.96,8.21,9.22
max,max,max,14.86,17.91,14.93,14.0,21.95,60.0,14.1,27.44,22.73,16.42,16.22,21.95,20.0,22.56,17.07,22.73,17.48,16.67,24.53,14.5,48.0,22.9,22.14,19.85
